[워머] 대상 12379건 (force=False, sample=전량, workers=3, sleep=0.3s)
  진행 560/12379 | ok 560 err 0 | 양호 71 검토 9 금지 477 미적용 3 | 323건/분 | ETA 37분
  진행 570/12379 | ok 570 err 0 | 양호 73 검토 9 금지 485 미적용 3 | 324건/분 | ETA 36분
  진행 580/12379 | ok 580 err 0 | 양호 74 검토 9 금지 494 미적용 3 | 325건/분 | ETA 36분
  진행 590/12379 | ok 590 err 0 | 양호 75 검토 9 금지 503 미적용 3 | 326건/분 | ETA 36분
  진행 600/12379 | ok 600 err 0 | 양호 76 검토 9 금지 512 미적용 3 | 327건/분 | ETA 36분
  진행 610/12379 | ok 610 err 0 | 양호 76 검토 9 금지 522 미적용 3 | 327건/분 | ETA 36분
  진행 620/12379 | ok 620 err 0 | 양호 76 검토 9 금지 532 미적용 3 | 328건/분 | ETA 36분
  진행 630/12379 | ok 630 err 0 | 양호 76 검토 9 금지 542 미적용 3 | 328건/분 | ETA 36분
  진행 640/12379 | ok 640 err 0 | 양호 77 검토 9 금지 551 미적용 3 | 330건/분 | ETA 36분
  진행 650/12379 | ok 650 err 0 | 양호 78 검토 9 금지 560 미적용 3 | 328건/분 | ETA 36분
  진행 660/12379 | ok 660 err 0 | 양호 79 검토 9 금지 569 미적용 3 | 322건/분 | ETA 36분
  진행 670/12379 | ok 670 err 0 | 양호 80 검토 10 금지 577 미적용 3 | 322건/분 | ETA 36분
  진행 680/12379 | ok 680 err 0 | 양호 80 검토 10 금지 587 미적용 3 | 322건/분 | ETA 36분
  진행 690/12379 | ok 690 err 0 | 양호 81 검토 10 금지 596 미적용 3 | 323건/분 | ETA 36분
  진행 700/12379 | ok 700 err 0 | 양호 87 검토 11 금지 599 미적용 3 | 324건/분 | ETA 36분
  진행 710/12379 | ok 710 err 0 | 양호 96 검토 11 금지 600 미적용 3 | 325건/분 | ETA 36분
  진행 720/12379 | ok 720 err 0 | 양호 96 검토 11 금지 610 미적용 3 | 326건/분 | ETA 36분
  진행 730/12379 | ok 730 err 0 | 양호 97 검토 11 금지 619 미적용 3 | 327건/분 | ETA 36분
  진행 740/12379 | ok 740 err 0 | 양호 103 검토 11 금지 623 미적용 3 | 327건/분 | ETA 36분
  진행 750/12379 | ok 750 err 0 | 양호 103 검토 11 금지 633 미적용 3 | 326건/분 | ETA 36분
